14
23
P P B B B B B P P P H P P P P B B B B B P P P 
P P P P P P P L L A A B P P P P P P P P P P P    
P P P A A A B P P P P P L H P A L L L P P B A     
P P P H P P P P P P P P P P P P P P P P P P P   
A A B P A A B P P P P P P P A P P P H P P P P  
P P P P P P P P P P P P P P P P P P P P P P P
P P P P P P P P P P A A B P P P P P P P P P P   
P H A A A B P P P P P P P P P P P P H P P H P   
P P P P P P P P P P P P P P P P P P P P P P P   
L L L L P P P P P P P P P A A B P P P P P P P 
P P A A A B P P P P P P P P P P P P P P L L L 
P P P P P P P P P P P P P P P P P P P P P P P  
P B B H P P P P P P L L L P P A A A B P L L L 
P P P P P P P P P P L F L P P P P P P P P H P 
